SMILES,PC ,Nitrogen density (g/cm3),OB,Nm,HB amount,strongest HB length,strongest HB strength,gasous N2,gasous H2O,gasous CO2, solid C,gasous NH3,gasous O2,Type1,Length1 ,Strength 1,Qmax,D,pC-J,LE
CCOc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,69.9,0.26,-77.8,4,101.2,2.22,3.72,11.54,26.92,13.46,48.08,0,0,O-C,1.51,72.41,1265.5,6.9,20.14,24.13
CN(c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,71.5,0.42,-47.4,4,107.9,2.2,3.22,20.83,20.83,22.92,35.42,0,0,N-C,1.47,91.69,1366.7,7.73,26.48,24.53
O=N(=O)c1cc(c(Nc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c(c1)N(=O)=O)N(=O)=O,74,0.4,-52.8,4,NaN,2.41,2.24,19.44,13.89,26.39,40.28,0,0,N-C,1.48,100.12,1315.2,7.53,25.46,27.84
O=N(=O)c1cc(c(C=Cc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c(c1)N(=O)=O)N(=O)=O.O=N(=O)c1cc(c(C=Cc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c(c1)N(=O)=O)N(=O)=O,74.4,0.33,-67.5,4,154.9,2.21,4.66,15,15,22.5,47.5,0,0,N-C,1.49,96.85,1359.3,7.34,24.12,33.53
Nc1c(c(N)c(c(O)c1N(=O)=O)N(=O)=O)N(=O)=O,76.77,0.51,-46.3,4,110.27,2.24,4.91,22.73,22.73,20.45,34.09,0,0,N-C,1.45,109.43,962.3,7.55,26.41,25.5
Nc1c(c(N)c(c(C(O)=O)c1N(=O)=O)N(=O)=O)N(=O)=O,74.45,0.47,-47.36,4,108.28,1.52,29.56,20.83,20.83,22.92,35.42,0,0,N-C,1.45,112.23,923.5,7.33,24.71,32.58
NC(N)=Nc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,77.81,0.55,-65.14,2,150.28,1.95,10.63,23.08,23.08,11.54,42.31,0,0,N-C,1.47,104.52,992,7.11,22.6,41.86
Nc1nc(N)c(c(N)c1N(=O)=O)N(=O)=O.Nc1nc(N)c(c(N)c1N(=O)=O)N(=O)=O,76.34,0.73,-67.24,8,110.99,1.91,25.98,27.27,27.27,4.55,40.91,0,0,N-C,1.42,122.26,670.8,6.83,21.57,30.22
CN(c1nc(N(C)N(=O)=O)c(nc1N(=O)=O)N(=O)=O)N(=O)=O,70.87,0.61,-35.2,8,143.11,2.35,1.83,30.77,23.08,19.23,26.92,0,0,N-C,1.47,90.77,1293.2,7.91,27.67,31.14
Nc1c(cc(c(N)n1[O])N(=O)=O)N(=O)=O,80.03,0.62,-55.78,2,133.06,2.24,5.19,25,25,12.5,37.5,0,0,O-N,1.35,110.67,932.8,7.51,26.2,29.28
Nc1[n+]([O-])c(N)c(nc1N(=O)=O)N(=O)=O,76.1,0.74,-37.01,4,102.63,1.93,12.09,33.33,22.22,16.67,27.78,0,0,N-C,1.46,106.28,950,7.84,28.82,28.93
Nc1nc(N)c(nc1N(=O)=O)N(=O)=O,74.82,0.76,-47.97,4,108.52,1.85,13.85,33.33,22.22,11.11,33.33,0,0,N-C,1.46,107.85,809.23,7.16,23.25,32.67
CC1=C(NN=C1N(=O)=O)N(=O)=O,71.92,0.57,-55.78,4,74.25,1.96,17.83,25,25,12.5,37.5,0,0,C-C,1.48,96.27,1183.69,7.51,24.95,25.22
O=N(=O)c1cc(c(c(c1)N(=O)=O)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)c1cc(c(c(c1)N(=O)=O)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,73.91,0.36,-52.8,4,92.22,2.17,4.55,17.65,11.76,29.41,41.18,0,0,N-C ,1.48,100.01,1384.2,7.67,26.7,24.73
O=N(=O)C1=CNN=C1C1=NNC=C1N(=O)=O,79.13,0.7,-71.38,4,102.3,1.95,20.23,27.27,18.18,9.09,45.45,0,0,N-N,1.4,105.19,1051.01,7.35,24.93,37.54
O=N(=O)C1=C(C2=CNN=C2N(=O)=O)C(=NN1)N(=O)=O,75.13,0.69,-44.58,4,96.63,1.82,25.89,31.82,13.64,20.45,34.09,0,0,N-C,1.44,111.95,1192.5,7.96,29.5,37.77
NN1N=C(C(=C1N(=O)=O)N1N=C(C(=C1N(=O)=O)N)N(=O)=O)N(=O)=O,74.05,0.76,-27.89,4,113.15,2.07,6.36,38.46,15.38,23.08,23.08,0,0,N-N,1.37,109.61,1252.9,8.29,31.85,33.75
O=N(=O)C1=C(C2=C(NN=C2N(=O)=O)N(=O)=O)C(=NN1)N(=O)=O,71.88,0.65,-25.46,8,66.43,1.75,18.13,36.36,9.09,31.82,22.73,0,0,N-C,1.44,109.76,1303,8.12,30.11,31.96
O=N(=O)N1C=C(C(=N1)C1=NN(C=C1N(=O)=O)N(=O)=O)N(=O)=O,75.89,0.67,-25.46,2,64.54,2.01,7.54,36.36,9.09,31.82,22.73,0,0,N-N,1.51,89.57,1458.9,8.47,33.18,25.08
NN1N=C(C(=C1C1=C(C(=NN1N)N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,71.63,0.74,-27.89,4,125.65,2.02,15.38,38.46,15.38,23.08,23.08,0,0,N-C ,1.46,104.19,1312.6,8.2,30.59,36.25
NN1N=C(N=C1C1=NC(=NN1N)N(=O)=O)N(=O)=O.NN1N=C(N=C1C1=NC(=NN1N)N(=O)=O)N(=O)=O,74.96,1.02,-37.47,6,115.23,1.88,17.6,45.45,18.18,9.09,27.27,0,0,N-N,1.4,103.25,1054.1,8,29.66,42.67
O=N(=O)c1cc(c(Cc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c(c1)N(=O)=O)N(=O)=O,72.42,0.34,-62.07,4,139.92,2.36,2.82,15.79,15.79,23.68,44.74,0,0,N-C,1.49,93.99,1353.5,7.48,25.14,30.26
NC1=C(N(CN2N=C(C(=C2N(=O)=O)N)N(=O)=O)N=C1N(=O)=O)N(=O)=O,,0.74,-40.2,8,146.58,1.99,8.76,33.33,20,16.67,30,0,0,N-C,1.47,102.33,1102.4,7.83,28.02,39.36
O=N(=O)C1=NN(CN2N=C(C(=C2N(=O)=O)N(=O)=O)N(=O)=O)C(=C1N(=O)=O)N(=O)=O.O=N(=O)C1=NN(CN2N=C(C(=C2N(=O)=O)N(=O)=O)N(=O)=O)C(=C1N(=O)=O)N(=O)=O.O=N(=O)C1=NN(CN2N=C(C(=C2N(=O)=O)N(=O)=O)N(=O)=O)C(=C1N(=O)=O)N(=O)=O,75.8,0.65,-11.48,12,52.5,2.23,3.43,38.46,7.69,42.31,11.54,0,0,N-C,1.48,95.84,1491.9,8.85,36.87,29.35
O=N(=O)C1=CN(CN2C=C(C(=N2)N(=O)=O)N(=O)=O)N=C1N(=O)=O,72.58,0.61,-39,2,109.48,2.44,2.81,30.77,15.38,23.08,30.77,0,0,N-C,1.45,105.79,1323.6,7.95,28.57,38.55
O=N(=O)C1=NN(CN2N=C(C=C2N(=O)=O)N(=O)=O)C(=C1)N(=O)=O,70.41,0.59,-39,4,106.55,2.3,3.65,30.77,15.38,23.08,30.77,0,0,N-C ,1.47,100.51,1332.5,7.74,26.39,28.69
O=N(=O)c1cc(c(CCc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c(c1)N(=O)=O)N(=O)=O,75.7,0.33,-70.75,2,173.63,2.38,2.37,14.29,19.05,19.05,47.62,0,0,C-C,1.56,75.76,1313.2,7.33,24.01,37.61
